time,x,y,pressure,tilt_x,tilt_y
1607551139123284,5186,7006,2060,200,1500
1607551139125130,5185,7006,2163,200,1500
1607551139126979,5184,7005,2267,200,1500
1607551139128829,5184,7005,2367,200,1500
1607551139130673,5183,7003,2466,200,1500
1607551139132527,5183,7002,2561,200,1500
1607551139134376,5182,7002,2650,200,1500
1607551139136225,5181,7002,2735,200,1500
1607551139138070,5177,7001,2810,200,1500
1607551139139920,5177,7001,2872,200,1500
1607551139141769,5182,7001,2930,200,1500
1607551139143613,5183,7000,2981,200,1500
1607551139145458,5182,7000,3026,200,1500
1607551139147306,5182,7001,3071,200,1500
1607551139149152,5184,7001,3116,200,1500
1607551139151003,5178,7001,3157,200,1500
1607551139152856,5177,7002,3197,200,1500
1607551139154701,5183,7002,3239,200,1500
1607551139156549,5183,7001,3277,200,1500
1607551139158394,5183,7001,3309,200,1500
1607551139160245,5184,7002,3340,200,1500
1607551139162097,5184,7002,3368,200,1500
1607551139163943,5184,7003,3392,200,1500
1607551139165785,5185,7004,3414,200,1500
1607551139167634,5185,7004,3435,200,1500
1607551139169485,5186,7005,3452,200,1500
1607551139171338,5187,7006,3469,200,1500
1607551139173184,5192,7006,3488,200,1400
1607551139175027,5193,7005,3506,200,1400
1607551139176879,5190,7006,3520,200,1400
1607551139178728,5190,7007,3540,200,1400
1607551139180574,5188,7007,3564,200,1400
1607551139182421,5187,7007,3584,200,1400
1607551139184266,5189,7007,3605,200,1400
1607551139186115,5186,7007,3630,200,1400
1607551139187962,5185,7007,3656,200,1400
1607551139189811,5189,7008,3683,200,1400
1607551139191661,5189,7008,3708,200,1400
1607551139193511,5189,7008,3731,200,1400
1607551139195358,5189,7008,3753,200,1400
1607551139197202,5179,7008,3776,200,1400
1607551139199060,5179,7009,3798,200,1400
1607551139200900,5190,7009,3817,200,1400
1607551139202747,5190,7009,3835,200,1400
1607551139204594,5190,7009,3858,200,1400
1607551139206441,5190,7009,3881,200,1400
1607551139208286,5202,7009,3901,200,1400
1607551139210138,5201,7009,3924,200,1400
1607551139211993,5189,7009,3953,200,1400
1607551139213842,5191,7009,3972,200,1400
1607551139215686,5191,7010,3986,200,1400
1607551139217535,5191,7010,4003,200,1400
1607551139219380,5190,7010,4018,200,1400
1607551139221238,5193,7011,4036,200,1400
1607551139223094,5193,7011,4049,200,1400
1607551139224922,5192,7010,4063,200,1400
1607551139226772,5192,7011,4081,200,1400
1607551139228618,5192,7011,4095,200,1400
1607551139230530,5191,7011,4095,200,1400
1607551139232316,5180,7011,4095,200,1400
1607551139234164,5181,7011,4095,200,1400
1607551139236014,5194,7011,4095,200,1400
1607551139241557,5194,7012,4095,200,1400
1607551139243403,5204,7012,4095,200,1400
1607551139245251,5194,7013,4095,200,1400
1607551139247097,5185,7012,4095,200,1400
1607551139248946,5197,7012,4095,200,1400
1607551139250796,5198,7013,4095,100,1400
1607551139252645,5197,7013,4095,100,1400
1607551139254494,5195,7013,4095,100,1400
1607551139256340,5211,7013,4095,100,1400
1607551139258193,5213,7013,4095,100,1400
1607551139260038,5198,7012,4095,100,1400
1607551139263728,5199,7013,4095,100,1400
1607551139267421,5195,7013,4095,100,1400
1607551139269273,5195,7014,4095,100,1400
1607551139271124,5197,7015,4095,100,1400
1607551139272972,5198,7016,4095,100,1400
1607551139274821,5199,7016,4095,100,1400
1607551139276668,5200,7015,4095,100,1400
1607551139278516,5199,7015,4095,100,1400
1607551139280363,5191,7015,4095,100,1400
1607551139282209,5192,7016,4095,100,1400
1607551139284058,5200,7017,4095,100,1400
1607551139287749,5201,7017,4095,100,1400
1607551139289601,5202,7017,4095,100,1400
1607551139291453,5208,7018,4095,100,1400
1607551139295145,5202,7019,4095,100,1400
1607551139296996,5202,7019,4095,100,1300
1607551139302535,5210,7019,4095,100,1300
1607551139304385,5210,7020,4095,100,1300
1607551139306236,5202,7021,4095,100,1300
1607551139308083,5203,7021,4095,100,1300
1607551139309930,5204,7021,4095,100,1300
1607551139313624,5203,7021,4095,100,1300
1607551139315475,5201,7021,4095,100,1300
1607551139317325,5202,7021,4095,100,1300
1607551139319173,5205,7021,4095,100,1300
1607551139321020,5205,7022,4095,100,1300
1607551139322868,5206,7023,4095,100,1300
1607551139326557,5192,7023,4095,100,1300
1607551139328408,5192,7024,4095,100,1300
1607551139330259,5205,7025,4095,100,1300
1607551139335804,5206,7026,4095,100,1300
1607551139337649,5224,7026,4095,100,1300
1607551139339502,5219,7025,4095,100,1300
1607551139341357,5200,7026,4095,100,1300
1607551139343194,5205,7027,4095,100,1300
1607551139345040,5204,7028,4095,100,1300
1607551139346890,5205,7029,4095,100,1300
1607551139348736,5205,7031,4095,100,1300
1607551139350588,5207,7033,4095,100,1300
1607551139352439,5208,7035,4095,100,1300
1607551139354286,5208,7039,4095,100,1300
1607551139356130,5208,7043,4095,100,1300
1607551139357981,5210,7045,4095,100,1300
1607551139359823,5210,7048,4095,100,1300
1607551139361684,5202,7051,4095,100,1300
1607551139363525,5204,7054,4095,100,1300
1607551139365370,5213,7057,4095,100,1300
1607551139367219,5214,7060,4095,100,1300
1607551139369066,5214,7063,4095,100,1300
1607551139370913,5215,7066,4095,100,1300
1607551139372766,5222,7068,4095,100,1300
1607551139374613,5214,7071,4095,100,1300
1607551139376460,5209,7073,4095,100,1300
1607551139378310,5218,7077,4095,100,1300
1607551139380157,5219,7080,4095,100,1300
1607551139382001,5220,7082,4095,100,1300
1607551139383919,5221,7085,4095,100,1300
1607551139385697,5238,7088,4095,100,1300
1607551139387543,5239,7091,4095,100,1300
1607551139389392,5224,7093,4095,100,1300
1607551139391247,5224,7095,4095,100,1300
1607551139393095,5225,7096,4095,100,1300
1607551139394943,5225,7098,4095,100,1300
1607551139396796,5222,7100,4095,100,1300
1607551139398638,5223,7101,4095,100,1300
1607551139400485,5226,7101,4095,100,1300
1607551139402330,5226,7103,4095,100,1300
1607551139406021,5226,7101,4095,100,1300
1607551139407871,5225,7101,4095,100,1300
1607551139409721,5216,7102,4095,100,1300
1607551139411573,5217,7103,4095,100,1300
1607551139413424,5226,7103,4095,100,1300
1607551139415269,5226,7104,4095,100,1300
1607551139417116,5226,7105,4095,100,1300
1607551139418958,5227,7105,4095,100,1300
1607551139420813,5229,7107,4095,100,1300
1607551139422670,5229,7109,4095,100,1300
1607551139424506,5227,7110,4095,100,1300
1607551139426357,5228,7113,4095,100,1300
1607551139428204,5228,7115,4095,100,1300
1607551139430049,5229,7116,4095,100,1300
1607551139431904,5239,7117,4095,100,1300
1607551139433748,5238,7118,4095,100,1300
1607551139435599,5229,7120,4095,100,1300
1607551139437446,5229,7121,4095,100,1300
1607551139439290,5228,7121,4095,100,1300
1607551139444829,5226,7122,4095,100,1300
1607551139446681,5226,7123,4095,100,1300
1607551139448530,5228,7123,4095,100,1300
1607551139450377,5228,7123,4095,100,1300
1607551139455918,5216,7124,4095,100,1300
1607551139457771,5217,7123,4095,100,1300
1607551139459624,5228,7124,4095,100,1300
1607551139461480,5227,7124,4095,100,1300
1607551139467003,5243,7125,4095,100,1300
1607551139468852,5236,7125,4095,100,1300
1607551139470708,5220,7125,4095,100,1300
1607551139472562,5227,7126,4095,100,1300
1607551139478098,5227,7128,4095,100,1300
1607551139479949,5226,7132,4095,100,1300
1607551139481798,5226,7135,4095,100,1300
1607551139483646,5225,7137,4095,100,1300
1607551139485491,5225,7140,4095,100,1300
1607551139487336,5225,7142,4095,100,1300
1607551139489183,5225,7144,4095,0,1300
1607551139491031,5216,7147,4095,100,1300
1607551139492887,5217,7148,4095,0,1300
1607551139494731,5224,7148,4095,0,1300
1607551139496584,5224,7151,4095,0,1300
1607551139498428,5224,7153,4095,0,1300
1607551139500278,5224,7154,4095,0,1300
1607551139502119,5227,7155,4095,100,1300
1607551139503969,5219,7156,4095,100,1300
1607551139505817,5215,7158,4095,100,1300
1607551139507668,5223,7160,4095,100,1300
1607551139509516,5223,7162,4095,100,1300
1607551139511366,5222,7164,4095,100,1300
1607551139513215,5222,7166,4095,0,1300
1607551139515065,5237,7167,4095,0,1300
1607551139516911,5237,7168,4095,0,1300
1607551139518758,5222,7168,4095,0,1300
1607551139522447,5222,7170,4095,0,1300
1607551139524298,5221,7171,4095,0,1300
1607551139526140,5225,7170,4095,0,1300
1607551139527990,5226,7170,4095,0,1300
1607551139529840,5223,7171,4095,0,1300
1607551139531698,5221,7172,4095,0,1300
1607551139533543,5221,7171,4095,0,1300
1607551139539078,5210,7171,4095,0,1300
1607551139540935,5210,7171,4095,0,1300
1607551139542782,5220,7172,4095,0,1300
1607551139544628,5220,7172,4095,0,1300
1607551139550169,5216,7173,4095,0,1300
1607551139552074,5215,7176,4095,0,1300
1607551139553929,5218,7180,4095,0,1300
1607551139555718,5218,7181,4095,0,1300
1607551139557564,5217,7183,4095,0,1300
1607551139559413,5217,7186,4095,0,1300
1607551139561258,5227,7187,4095,0,1300
1607551139563102,5227,7190,4095,0,1300
1607551139564952,5215,7192,4095,0,1300
1607551139566804,5215,7193,4095,0,1300
1607551139568650,5216,7194,4095,0,1300
1607551139570498,5216,7195,4095,0,1300
1607551139572353,5216,7198,4095,0,1300
1607551139574199,5212,7200,4095,0,1300
1607551139576043,5211,7202,4095,0,1300
1607551139577890,5215,7204,4095,0,1300
1607551139579745,5215,7206,4095,0,1300
1607551139581590,5214,7207,4095,0,1300
1607551139583431,5215,7209,4095,0,1400
1607551139585278,5204,7211,4095,0,1400
1607551139587125,5205,7213,4095,0,1400
1607551139588976,5216,7216,4095,0,1400
1607551139590828,5215,7217,4095,0,1400
1607551139592676,5216,7217,4095,0,1400
1607551139594527,5216,7219,4095,0,1400
1607551139596374,5231,7220,4095,0,1400
1607551139598222,5226,7219,4095,0,1400
1607551139600076,5210,7220,4095,0,1400
1607551139601918,5215,7221,4095,0,1400
1607551139605604,5214,7221,4095,0,1400
1607551139607459,5214,7222,4095,0,1400
1607551139609307,5221,7222,4095,0,1400
1607551139611152,5222,7222,4095,0,1400
1607551139613005,5215,7222,4095,0,1400
1607551139616698,5215,7223,4095,0,1400
1607551139620394,5209,7222,4095,0,1400
1607551139622241,5209,7223,4095,0,1400
1607551139624087,5215,7223,4095,0,1400
1607551139625942,5215,7224,4095,0,1400
1607551139627786,5215,7228,4095,0,1400
1607551139629636,5214,7232,4095,0,1400
1607551139631487,5219,7234,4095,0,1400
1607551139633333,5209,7237,4095,0,1400
1607551139635179,5204,7239,4095,0,1400
1607551139637029,5214,7241,4095,0,1400
1607551139638879,5214,7243,4095,0,1400
1607551139640726,5214,7246,4095,0,1400
1607551139642571,5215,7249,4095,0,1400
1607551139644412,5222,7251,4095,0,1400
1607551139646270,5222,7253,4095,0,1400
1607551139648116,5215,7255,4095,0,1400
1607551139649962,5215,7257,4095,0,1400
1607551139651814,5215,7261,4095,0,1400
1607551139653662,5215,7264,4095,0,1400
1607551139655511,5222,7266,4095,0,1400
1607551139657357,5221,7268,4095,0,1400
1607551139659208,5214,7271,4095,0,1400
1607551139661058,5215,7274,4095,0,1400
1607551139662898,5217,7277,4095,0,1400
1607551139664750,5217,7278,4095,0,1400
1607551139666593,5215,7281,4095,0,1400
1607551139668443,5208,7282,4095,0,1400
1607551139670290,5210,7284,4095,0,1400
1607551139672141,5217,7286,4095,0,1400
1607551139673990,5217,7287,4095,0,1400
1607551139675837,5217,7289,4095,0,1400
1607551139679525,5206,7291,4095,0,1400
1607551139681443,5206,7292,4095,0,1400
1607551139683222,5217,7294,4095,0,1400
1607551139685073,5218,7296,4095,0,1400
1607551139688766,5217,7297,4095,0,1400
1607551139690619,5244,7297,4095,0,1400
1607551139692470,5244,7298,4095,0,1400
1607551139694317,5219,7300,4095,0,1400
1607551139696164,5220,7302,4095,0,1400
1607551139698014,5217,7304,4095,0,1400
1607551139699860,5217,7305,4095,0,1400
1607551139701711,5219,7307,4095,0,1400
1607551139703551,5218,7309,4095,0,1400
1607551139705399,5217,7311,4095,0,1400
1607551139707248,5218,7313,4095,0,1400
1607551139709099,5218,7316,4095,0,1400
1607551139710945,5219,7318,4095,0,1400
1607551139712797,5218,7320,4095,0,1400
1607551139714646,5204,7322,4095,0,1400
1607551139716488,5205,7325,4095,0,1400
1607551139718338,5220,7328,4095,0,1400
1607551139720196,5220,7329,4095,0,1400
1607551139722035,5220,7330,4095,0,1400
1607551139723883,5221,7333,4095,0,1400
1607551139725732,5232,7335,4095,0,1400
1607551139727575,5225,7337,4095,0,1400
1607551139729424,5214,7338,4095,0,1400
1607551139731293,5221,7340,4095,0,1400
1607551139733127,5221,7341,4095,0,1400
1607551139734973,5222,7343,4095,0,1400
1607551139736819,5221,7346,4095,0,1400
1607551139738663,5232,7348,4095,0,1400
1607551139740515,5233,7351,4095,0,1400
1607551139742361,5222,7353,4095,0,1400
1607551139744213,5223,7355,4095,0,1400
1607551139746060,5223,7357,4095,0,1400
1607551139747903,5222,7359,4095,0,1400
1607551139749753,5218,7360,4095,0,1400
1607551139751610,5218,7361,4095,0,1400
1607551139753457,5223,7364,4095,0,1400
1607551139755312,5223,7366,4095,0,1400
1607551139757149,5223,7368,4095,0,1400
1607551139759000,5222,7369,4095,0,1400
1607551139760848,5225,7370,4095,0,1400
1607551139762687,5218,7372,4095,0,1400
1607551139764538,5215,7373,4095,0,1400
1607551139766386,5223,7374,4095,0,1400
1607551139768239,5223,7376,4095,0,1400
1607551139770081,5223,7377,4095,0,1400
1607551139771937,5223,7378,4095,0,1400
1607551139773782,5228,7378,4095,0,1400
1607551139775631,5228,7379,4095,0,1400
1607551139777475,5223,7379,4095,0,1400
1607551139779328,5222,7379,4095,0,1400
1607551139783015,5222,7380,4095,0,1400
1607551139784868,5227,7381,4095,0,1400
1607551139786711,5225,7382,4095,0,1400
1607551139788560,5220,7382,4095,0,1400
1607551139790410,5222,7382,4095,0,1400
1607551139794102,5221,7382,4095,0,1400
1607551139795958,5219,7383,4095,0,1400
1607551139797802,5210,7384,4095,0,1400
1607551139799651,5213,7386,4095,0,1400
1607551139801504,5221,7387,4095,0,1400
1607551139803350,5221,7388,4095,0,1400
1607551139805192,5221,7391,4095,0,1300
1607551139807042,5220,7393,4095,0,1300
1607551139808890,5212,7394,4095,0,1300
1607551139810775,5212,7395,4095,0,1300
1607551139812592,5220,7396,4095,0,1300
1607551139816282,5220,7397,4095,0,1300
1607551139818134,5219,7398,4095,0,1300
1607551139819985,5235,7401,4095,0,1300
1607551139821823,5231,7403,4095,0,1300
1607551139823673,5217,7405,4095,0,1300
1607551139825522,5221,7406,4095,0,1300
1607551139827378,5219,7408,4095,0,1300
1607551139829218,5219,7410,4095,0,1300
1607551139831067,5220,7412,4095,0,1300
1607551139832919,5217,7413,4095,0,1300
1607551139834766,5217,7414,4095,0,1300
1607551139836612,5220,7416,4095,0,1300
1607551139838461,5219,7419,4095,0,1300
1607551139840311,5220,7421,4095,0,1300
1607551139842156,5221,7422,4095,0,1300
1607551139844000,5207,7425,4095,0,1300
1607551139845845,5207,7427,4095,0,1300
1607551139847698,5220,7429,4095,0,1300
1607551139849547,5220,7430,4095,0,1300
1607551139851401,5221,7433,4095,0,1300
1607551139853250,5221,7437,4095,0,1300
1607551139855095,5230,7439,4095,0,1300
1607551139856945,5219,7441,4095,0,1300
1607551139858791,5209,7443,4095,0,1300
1607551139860637,5219,7445,4095,0,1300
1607551139862489,5220,7447,4095,0,1300
1607551139864332,5220,7449,4095,0,1300
1607551139866180,5219,7452,4095,0,1300
1607551139868030,5234,7455,4095,0,1300
1607551139869876,5235,7457,4095,0,1300
1607551139871727,5220,7458,4095,0,1300
1607551139873570,5219,7461,4095,0,1300
1607551139875427,5219,7463,4095,0,1300
1607551139877274,5219,7465,4095,0,1300
1607551139879121,5215,7467,4095,0,1300
1607551139880963,5215,7468,4095,0,1300
1607551139882808,5218,7471,4095,0,1300
1607551139884658,5219,7473,4095,0,1300
1607551139886509,5219,7475,4095,0,1300
1607551139888358,5218,7476,4095,0,1300
1607551139890204,5219,7477,4095,0,1300
1607551139892056,5210,7479,4095,0,1300
1607551139893903,5208,7481,4095,0,1300
1607551139895752,5216,7482,4095,0,1300
1607551139897603,5216,7483,4095,0,1300
1607551139899451,5215,7484,4095,0,1300
1607551139901308,5216,7485,4095,0,1300
1607551139903142,5223,7486,4095,0,1300
1607551139904984,5223,7487,4095,0,1300
1607551139906838,5216,7487,4095,0,1300
1607551139908686,5215,7488,4095,0,1300
1607551139910533,5215,7489,4095,0,1300
1607551139912386,5215,7491,4095,0,1300
1607551139914233,5220,7492,4095,0,1300
1607551139916080,5220,7493,4095,0,1300
1607551139917930,5213,7494,4095,0,1300
1607551139919777,5213,7495,4095,0,1300
1607551139921622,5214,7497,4095,0,1300
1607551139923470,5214,7499,4095,0,1300
1607551139925317,5213,7499,4095,0,1300
1607551139927165,5207,7500,4095,0,1300
1607551139929014,5208,7501,4095,0,1300
1607551139930861,5214,7502,4095,0,1300
1607551139932714,5214,7503,4095,0,1300
1607551139938253,5205,7504,4095,0,1300
1607551139941949,5214,7504,4095,0,1300
1607551139943805,5214,7505,4095,0,1300
1607551139949334,5232,7505,4095,0,1300
1607551139951227,5226,7504,4095,0,1300
1607551139953039,5208,7504,4095,0,1300
1607551139954887,5214,7505,4095,0,1300
1607551139960425,5215,7505,4095,0,1300
1607551139962278,5214,7505,4095,0,1300
1607551139964122,5213,7505,4095,0,1300
1607551139965971,5214,7505,4095,0,1300
1607551139969665,5214,7506,4095,0,1300
1607551139973364,5191,7507,4095,0,1300
1607551139975219,5192,7507,4095,0,1300
1607551139977062,5214,7507,4095,0,1300
1607551139978913,5214,7508,4095,0,1300
1607551139980760,5214,7510,4095,0,1300
1607551139982605,5213,7513,4095,0,1300
1607551139984453,5220,7515,4095,0,1300
1607551139986301,5214,7517,4095,0,1300
1607551139988160,5208,7518,4095,0,1300
1607551139989992,5215,7519,4095,0,1300
1607551139991848,5214,7521,4095,0,1300
1607551139995538,5213,7522,4095,0,1300
1607551139997391,5227,7522,4095,0,1300
1607551139999235,5228,7523,4095,0,1300
1607551140001085,5214,7525,4095,0,1300
1607551140002931,5213,7526,4095,0,1300
1607551140004783,5213,7528,4095,0,1300
1607551140006628,5213,7529,4095,0,1300
1607551140008477,5213,7530,4095,0,1300
1607551140010324,5213,7531,4095,0,1300
1607551140012174,5213,7533,4095,0,1300
1607551140014029,5213,7535,4095,0,1300
1607551140015868,5213,7535,4095,0,1300
1607551140017720,5213,7534,4095,0,1300
1607551140019569,5214,7535,4095,0,1300
1607551140021424,5201,7535,4095,0,1300
1607551140023259,5200,7535,4095,0,1300
1607551140025109,5212,7536,4095,0,1300
1607551140026954,5213,7537,4095,0,1300
1607551140028805,5213,7538,4095,0,1300
1607551140030653,5212,7539,4095,0,1300
1607551140032503,5224,7541,4095,0,1300
1607551140034352,5223,7543,4095,0,1300
1607551140036194,5212,7543,4095,0,1300
1607551140038049,5212,7544,4095,0,1300
1607551140039893,5212,7545,4095,0,1300
1607551140041744,5212,7545,4095,0,1300
1607551140043583,5216,7546,4095,0,1300
1607551140045442,5215,7547,4095,0,1300
1607551140047285,5211,7547,4095,0,1300
1607551140049132,5212,7547,4095,0,1300
1607551140050976,5211,7547,4095,0,1300
1607551140052828,5211,7547,4095,0,1300
1607551140054688,5210,7547,4095,0,1300
1607551140056529,5206,7547,4095,0,1300
1607551140058371,5208,7549,4095,0,1300
1607551140060229,5212,7550,4095,0,1300
1607551140062068,5212,7551,4095,0,1300
1607551140063918,5212,7552,4095,0,1300
1607551140065762,5211,7553,4095,0,1300
1607551140067611,5201,7555,4095,0,1300
1607551140069459,5201,7556,4095,0,1300
1607551140071312,5211,7559,4095,0,1300
1607551140073155,5211,7560,4095,0,1300
1607551140075006,5212,7561,4095,0,1300
1607551140076857,5212,7562,4095,0,1300
1607551140078704,5224,7563,4095,0,1300
1607551140080551,5220,7564,4095,0,1300
1607551140082450,5210,7566,4095,0,1300
1607551140084251,5214,7567,4095,0,1300
1607551140086093,5211,7569,4095,0,1300
1607551140087941,5211,7571,4095,0,1100
1607551140089788,5211,7572,4095,0,1100
1607551140091637,5213,7574,4095,0,1100
1607551140093484,5212,7575,4095,0,1100
1607551140095344,5210,7577,4095,0,1100
1607551140097181,5210,7580,4095,0,1100
1607551140099027,5210,7581,4095,0,1100
1607551140100874,5210,7583,4095,0,1100
1607551140102726,5202,7584,4095,0,1100
1607551140104571,5201,7585,4095,0,1100
1607551140106416,5209,7586,4095,0,1100
1607551140108266,5210,7588,4095,0,1100
1607551140110113,5210,7590,4095,0,1100
1607551140111973,5210,7593,4095,0,1100
1607551140113819,5218,7595,4095,0,1100
1607551140115664,5214,7596,4095,0,1100
1607551140117508,5205,7598,4095,0,1100
1607551140119359,5210,7599,4095,0,1100
1607551140121224,5210,7601,4095,0,1100
1607551140123053,5209,7603,4095,0,1100
1607551140124898,5209,7605,4095,0,1100
1607551140126746,5216,7606,4095,0,1100
1607551140128593,5217,7608,4095,0,1100
1607551140130446,5210,7611,4095,0,1100
1607551140132296,5210,7614,4095,0,1100
1607551140134148,5211,7615,4095,0,1100
1607551140135993,5211,7617,4095,0,1100
1607551140137842,5210,7619,4095,0,1100
1607551140139686,5210,7621,4095,0,1100
1607551140141532,5211,7623,4095,0,1100
1607551140143379,5211,7626,4095,0,1100
1607551140145226,5212,7628,4095,0,1100
1607551140148919,5212,7629,4095,0,1100
1607551140150774,5206,7631,4095,0,1100
1607551140152624,5206,7632,4095,0,1100
1607551140154469,5213,7633,4095,0,1100
1607551140156317,5212,7634,4095,0,1100
1607551140158168,5213,7634,4095,0,1100
1607551140160017,5212,7635,4095,0,1100
1607551140161864,5215,7636,4095,0,1100
1607551140163708,5216,7637,4095,0,1100
1607551140165551,5213,7637,4095,0,1100
1607551140167401,5212,7637,4095,0,1100
1607551140169252,5212,7638,4095,0,1100
1607551140171098,5213,7638,4095,0,1100
1607551140172953,5221,7638,4095,0,1100
1607551140174799,5220,7638,4095,0,1100
1607551140176644,5212,7639,4095,0,1100
1607551140178494,5212,7640,4095,0,1100
1607551140185879,5208,7640,4095,100,1100
1607551140187730,5208,7640,4095,100,1100
